month,hour,PVCurrent
7,13,337.86538461538464
7,14,335.69
7,15,218.665
7,16,28.46833333333333
7,17,87.98666666666666
7,18,73.15166666666667
7,19,20.971666666666668
7,20,12.004999999999999
7,21,1.9966666666666666
7,22,-0.28833333333333333
7,23,-0.26999999999999996
8,0,-0.282391106251139
8,1,-0.2756123564789502
8,2,-0.2777683615819209
8,3,-0.28465463823583015
8,4,-0.27670311645708034
8,5,-0.2855804629123383
8,6,-0.2834135228722435
8,7,3.1114324767632584
8,8,45.82004009476945
8,9,133.20565336249314
8,10,215.50807636231093
8,11,285.6159148897394
8,12,327.95528613085474
8,13,339.2925268817204
8,14,322.581897211591
8,15,255.58763440860216
8,16,60.84516701174461
8,17,66.73118279569891
8,18,63.69356661199198
8,19,23.937795698924734
8,20,9.482003827227993
8,21,0.4079496992892291
8,22,-0.2778266812465829
8,23,-0.2766903590304356
9,0,-0.27870244821092277
9,1,-0.27934369114877594
9,2,-0.28662429378531074
9,3,-0.27802354048964223
9,4,-0.27465254237288134
9,5,-0.27911676082862524
9,6,-0.2834256120527307
9,7,-0.10684180790960453
9,8,24.937419962335216
9,9,107.49885028248588
9,10,202.87242278719398
9,11,270.3003079096045
9,12,313.6177966101695
9,13,316.8783483992467
9,14,310.64197080979284
9,15,251.6461450094162
9,16,98.64727777777779
9,17,45.31810075329567
9,18,37.81865348399246
9,19,15.716439736346517
9,20,2.0130357815442563
9,21,-0.2779830508474576
9,22,-0.2822467043314501
9,23,-0.277319209039548
10,0,-0.2866666666666666
10,1,-0.3066666666666667
10,2,-0.28500000000000003
10,3,-0.2704166666666667
10,4,-0.28375
10,5,-0.28001412429378536
10,6,-0.2829166666666667
10,7,-0.28041666666666665
10,8,19.535
10,9,110.6581709039548
10,10,224.44708333333332
10,11,285.63407485875706
10,12,335.3614393939394
10,13,350.6905555555556
10,14,331.38111111111107
10,15,283.2638888888889
10,16,134.22653483992465
10,17,20.099444444444444
10,18,18.14888888888889
10,19,8.42388888888889
10,20,0.10888888888888888
10,21,-0.2655555555555556
10,22,-0.27385122410546137
10,23,-0.29333333333333333
